City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salinopolis,BR,81.1,overcast clouds,-0.6136,-47.3561,
1,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,
3,Port Macquarie,AU,75.16,overcast clouds,-31.4333,152.9167,
14,Kapaa,US,80.92,light rain,22.0752,-159.319,
24,Georgetown,MY,78.73,few clouds,5.4112,100.3354,
26,Hithadhoo,MV,81.84,broken clouds,-0.6,73.0833,
27,Hilo,US,76.28,light rain,19.7297,-155.09,
31,Paraguacu Paulista,BR,78.04,clear sky,-22.4128,-50.5758,
33,Carutapera,BR,80.92,overcast clouds,-1.195,-46.02,
35,Atuona,PF,77.68,clear sky,-9.8,-139.0333,
36,Castro,BR,75.74,clear sky,-24.7911,-50.0119,
38,Auki,SB,78.35,overcast clouds,-8.7676,160.7034,
39,Les Cayes,HT,81.55,overcast clouds,18.2,-73.75,
40,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,
44,Narrabri,AU,82.53,overcast clouds,-30.3167,149.7833,
48,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,
50,Matara,LK,75.81,broken clouds,5.9485,80.5353,
52,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,
54,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,
57,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,
59,Taoudenni,ML,78.01,overcast clouds,22.6783,-3.9836,
61,Acarau,BR,81.45,broken clouds,-2.8856,-40.12,
65,Nkhotakota,MW,75.52,moderate rain,-12.9274,34.2961,
78,Jutai,BR,82.08,overcast clouds,-5.1833,-68.9,
80,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,
87,Kavieng,PG,81.72,broken clouds,-2.5744,150.7967,
90,Mackay,AU,85.05,scattered clouds,-21.15,149.2,
92,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,
94,Ewa Beach,US,80.55,light rain,21.3156,-158.0072,
102,Dicabisagan,PH,76.95,overcast clouds,17.0818,122.4157,
104,Bolobo,CD,76.57,overcast clouds,-2.1667,16.2333,
106,Huaquillas,EC,80.49,broken clouds,-3.4833,-80.2333,
112,Celestun,MX,78.96,broken clouds,20.8667,-90.4,
113,Bani,DO,83.64,scattered clouds,18.2833,-70.3333,
115,Dunmore Town,BS,78.37,clear sky,25.5,-76.65,
116,La Asuncion,VE,83.93,broken clouds,11.0333,-63.8628,
120,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,
121,Kirakira,SB,81.66,overcast clouds,-10.4544,161.9205,
132,Butaritari,KI,82.18,overcast clouds,3.0707,172.7902,
136,Capitao Poco,BR,80.24,overcast clouds,-1.7464,-47.0594,
140,Faanui,PF,79.81,light rain,-16.4833,-151.75,
150,Poum,NC,79.48,scattered clouds,-20.2333,164.0167,
154,Cuyotenango,GT,86.52,clear sky,14.5333,-91.5667,
160,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,
163,Lamu,KE,80.82,light rain,-2.2717,40.902,
168,Bangui,CF,82.58,broken clouds,4.3612,18.555,
177,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,
178,Amapa,BR,81.86,broken clouds,1.0,-52.0,
180,Trincomalee,LK,80.22,scattered clouds,8.5711,81.2335,
181,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,
186,Salalah,OM,75.29,few clouds,17.0151,54.0924,
189,Labuhan,ID,79.99,moderate rain,-6.8844,112.2051,
190,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,
196,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,
198,Kavaratti,IN,81.21,clear sky,10.5669,72.642,
201,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
202,Namatanai,PG,80.42,light rain,-3.6667,152.4333,
205,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,
207,Cabo San Lucas,MX,78.1,scattered clouds,22.8909,-109.9124,
209,Tulagi,SB,82.33,overcast clouds,-9.0996,160.1476,
218,Sola,VU,83.07,broken clouds,-13.8833,167.55,
223,Pundaguitan,PH,81.61,broken clouds,6.3711,126.1689,
224,Vallenar,CL,80.24,overcast clouds,-28.5708,-70.7581,
228,San Matias,BO,81.9,light rain,-16.3667,-58.4,
229,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,
236,Vavoua,CI,78.28,scattered clouds,7.3819,-6.4778,
237,Pochutla,MX,87.62,broken clouds,15.7432,-96.4661,
238,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,
239,Gunjur,GM,80.67,overcast clouds,13.2019,-16.7339,
241,Nelson Bay,AU,79.0,broken clouds,-32.7167,152.15,
242,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,
243,Mana,GF,79.7,overcast clouds,5.6592,-53.7767,
246,Cabinda,AO,78.46,broken clouds,-5.55,12.2,
247,Beaufort,MY,78.96,overcast clouds,5.3473,115.7455,
256,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,
257,Ugoofaaru,MV,81.32,overcast clouds,5.6667,73.0,
258,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,
261,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,
262,Sinnamary,GF,79.99,broken clouds,5.3833,-52.95,
265,Agramonte,CU,82.83,clear sky,22.6786,-81.1156,
266,Ilheus,BR,82.22,broken clouds,-14.7889,-39.0494,
270,Miri,MY,75.34,light rain,4.4148,114.0089,
272,Corralillo,CU,80.31,clear sky,22.9819,-80.5856,
273,Benjamin Constant,BR,84.25,few clouds,-4.3831,-70.0311,
283,Boca Do Acre,BR,77.92,moderate rain,-8.7522,-67.3978,
284,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,
285,Alice Town,BS,78.12,clear sky,25.7167,-79.3,
286,Mahibadhoo,MV,82.04,overcast clouds,3.7833,72.9667,
287,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,
291,Coxim,BR,85.12,heavy intensity rain,-18.5067,-54.76,
292,Alvorada,BR,78.73,overcast clouds,-12.48,-49.1247,
293,Conakry,GN,84.27,haze,9.538,-13.6773,
294,Bom Jesus,BR,77.79,overcast clouds,-9.0744,-44.3586,
