City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Salinopolis,BR,-0.6136,-47.3561,81.1,80,100,10.98,overcast clouds,2021-12-19 21:15:42
1,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,75,11.5,broken clouds,2021-12-19 21:15:42
2,Chuy,UY,-33.6971,-53.4616,73.85,67,8,15.17,clear sky,2021-12-19 21:15:43
3,Port Macquarie,AU,-31.4333,152.9167,75.16,75,90,2.91,overcast clouds,2021-12-19 21:15:43
4,Punta Arenas,CL,-53.15,-70.9167,50.11,53,40,35.68,scattered clouds,2021-12-19 21:15:43
5,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,91.09,49,97,7.36,overcast clouds,2021-12-19 21:15:44
6,Yinchuan,CN,38.4681,106.2731,30.83,26,2,4.21,clear sky,2021-12-19 21:15:44
7,Upernavik,GL,72.7868,-56.1549,27.28,87,100,4.81,overcast clouds,2021-12-19 21:14:13
8,Hobart,AU,-42.8794,147.3294,61.27,56,75,1.99,broken clouds,2021-12-19 21:13:07
9,Dhankuta,NP,26.9833,87.3333,44.35,83,0,6.4,clear sky,2021-12-19 21:15:45
10,College,US,64.8569,-147.8028,17.58,87,90,3.44,snow,2021-12-19 21:15:45
11,Cherskiy,RU,68.75,161.3,-20.65,98,100,21.45,light snow,2021-12-19 21:15:45
12,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,75,10.36,broken clouds,2021-12-19 21:15:46
13,Cape Town,ZA,-33.9258,18.4232,73.11,66,0,1.99,clear sky,2021-12-19 21:15:46
14,Kapaa,US,22.0752,-159.319,80.92,72,75,4.0,light rain,2021-12-19 21:15:46
15,Cachoeira Do Sul,BR,-30.0392,-52.8939,91.72,33,0,7.0,clear sky,2021-12-19 21:15:47
16,Rikitea,PF,-23.1203,-134.9692,74.14,83,100,14.72,overcast clouds,2021-12-19 21:15:47
17,Cervo,ES,43.6702,-7.4101,39.2,79,5,7.43,clear sky,2021-12-19 21:15:47
18,Albany,US,42.6001,-73.9662,29.34,72,66,13.0,broken clouds,2021-12-19 21:15:48
19,Bluff,NZ,-46.6,168.3333,72.81,52,97,25.64,overcast clouds,2021-12-19 21:15:48
20,Ushuaia,AR,-54.8,-68.3,38.86,81,75,18.41,light intensity drizzle,2021-12-19 21:15:48
21,Carnarvon,AU,-24.8667,113.6333,69.87,83,0,16.11,clear sky,2021-12-19 21:11:07
22,Coihaique,CL,-45.5752,-72.0662,74.01,38,0,7.58,clear sky,2021-12-19 21:15:49
