City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nikolskoye,59.7035,30.7861,34.39,97,100,11.12,RU,2021-12-19 04:22:30
1,Bambous Virieux,-20.3428,57.7575,82.22,69,20,3.44,MU,2021-12-19 04:22:30
2,Bluff,-46.6,168.3333,70.81,63,51,15.97,NZ,2021-12-19 04:22:31
3,Geneva,41.8875,-88.3054,32.34,70,90,1.99,US,2021-12-19 04:22:31
4,Kavieng,-2.5744,150.7967,82.35,78,100,13.09,PG,2021-12-19 04:22:31
5,Tiznit,29.5833,-9.5,59.36,46,28,14.09,MA,2021-12-19 04:22:32
6,Fairbanks,64.8378,-147.7164,13.1,84,90,3.44,US,2021-12-19 04:22:32
7,Ushuaia,-54.8,-68.3,49.66,76,75,29.93,AR,2021-12-19 04:22:32
8,Pervoavgustovskiy,52.2264,35.0552,29.01,95,100,20.69,RU,2021-12-19 04:22:33
9,Chicama,-7.8447,-79.1469,61.34,85,87,5.64,PE,2021-12-19 04:22:33
10,Bonthe,7.5264,-12.505,78.31,85,17,4.18,SL,2021-12-19 04:22:33
11,Brokopondo,4.75,-55.1667,75.79,90,39,5.95,SR,2021-12-19 04:22:33
12,Andenes,69.3143,16.1194,39.18,87,20,21.85,NO,2021-12-19 04:22:34
13,Korla,41.7597,86.1469,24.94,52,21,4.23,CN,2021-12-19 04:22:34
14,Kapaa,22.0752,-159.319,78.78,78,40,3.0,US,2021-12-19 04:19:46
15,Nanortalik,60.1432,-45.2371,34.29,94,100,17.2,GL,2021-12-19 04:22:35
16,Barrow,71.2906,-156.7887,-3.98,77,90,9.22,US,2021-12-19 04:22:35
17,Erzin,36.9559,36.2,48.92,85,100,7.34,TR,2021-12-19 04:22:36
18,Upernavik,72.7868,-56.1549,22.91,73,100,3.44,GL,2021-12-19 04:22:36
19,Tasiilaq,65.6145,-37.6368,33.96,95,100,17.4,GL,2021-12-19 04:22:36
20,Lagoa,39.05,-27.9833,60.55,82,99,25.43,PT,2021-12-19 04:22:37
